onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	10	2	9	96	18
14	2	0	0	12	2	11	144	22
18	2	0	0	20	2	8	72	16
22	2	0	0	1	1	1	216	1
26	2	0	0	9	2	9	96	17
30	2	0	0	6	1	5	312	10
34	2	0	0	22	2	10	120	20
42	2	0	0	24	2	12	168	24
46	2	0	0	21	2	10	120	19
50	2	0	0	5	1	5	312	9
54	2	0	0	11	2	11	144	21
58	2	0	0	19	2	8	72	15
62	2	0	0	3	1	3	264	5
70	2	0	0	7	2	7	48	13
74	2	0	0	8	2	7	48	14
78	2	0	0	4	1	3	264	6
82	2	0	0	16	1	4	288	8
86	2	0	0	23	2	12	168	23
90	2	0	0	2	1	1	216	2
98	2	0	0	18	1	6	336	12
102	2	0	0	15	1	4	288	7
106	2	0	0	17	1	6	336	11
110	2	0	0	13	1	2	240	3
118	2	0	0	14	1	2	240	4
126	2	0	0	6	1	5	312	10
130	2	0	0	21	2	10	120	19
134	2	0	0	12	2	11	144	22
138	2	0	0	24	2	12	168	24
146	2	0	0	2	1	1	216	2
150	2	0	0	5	1	5	312	9
158	2	0	0	14	1	2	240	4
162	2	0	0	16	1	4	288	8
170	2	0	0	17	1	6	336	11
178	2	0	0	4	1	3	264	6
182	2	0	0	18	1	6	336	12
186	2	0	0	8	2	7	48	14
190	2	0	0	19	2	8	72	15
194	2	0	0	11	2	11	144	21
198	2	0	0	1	1	1	216	1
202	2	0	0	13	1	2	240	3
206	2	0	0	10	2	9	96	18
210	2	0	0	3	1	3	264	5
218	2	0	0	7	2	7	48	13
222	2	0	0	9	2	9	96	17
226	2	0	0	15	1	4	288	7
234	2	0	0	23	2	12	168	23
238	2	0	0	20	2	8	72	16
246	2	0	0	22	2	10	120	20
