onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	12	2	11	240	22
16	4	0	0	13	1	2	336	3
28	4	0	0	6	1	5	48	10
34	4	0	0	1	1	1	312	1
40	4	0	0	15	1	4	24	7
46	4	0	0	4	1	3	360	6
52	4	0	0	20	2	8	168	16
58	4	0	0	14	1	2	336	4
64	4	0	0	23	2	12	264	23
70	4	0	0	2	1	1	312	2
76	4	0	0	17	1	6	72	11
82	4	0	0	18	1	6	72	12
88	4	0	0	8	2	7	144	14
94	4	0	0	24	2	12	264	24
100	4	0	0	11	2	11	240	21
106	4	0	0	21	2	10	216	19
112	4	0	0	19	2	8	168	15
118	4	0	0	22	2	10	216	20
124	4	0	0	3	1	3	360	5
130	4	0	0	5	1	5	48	9
142	4	0	0	9	2	9	192	17
148	4	0	0	7	2	7	144	13
154	4	0	0	10	2	9	192	18
160	4	0	0	16	1	4	24	8
166	4	0	0	20	2	8	168	16
172	4	0	0	7	2	7	144	13
184	4	0	0	22	2	10	216	20
190	4	0	0	16	1	4	24	8
196	4	0	0	14	1	2	336	4
208	4	0	0	13	1	2	336	3
220	4	0	0	15	1	4	24	7
232	4	0	0	2	1	1	312	2
244	4	0	0	11	2	11	240	21
250	4	0	0	5	1	5	48	9
256	4	0	0	12	2	11	240	22
262	4	0	0	1	1	1	312	1
268	4	0	0	8	2	7	144	14
274	4	0	0	18	1	6	72	12
280	4	0	0	3	1	3	360	5
292	4	0	0	4	1	3	360	6
304	4	0	0	6	1	5	48	10
316	4	0	0	17	1	6	72	11
322	4	0	0	21	2	10	216	19
328	4	0	0	10	2	9	192	18
340	4	0	0	24	2	12	264	24
346	4	0	0	9	2	9	192	17
358	4	0	0	19	2	8	168	15
364	4	0	0	23	2	12	264	23
