onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	20	2	8	168	16
14	2	0	0	19	2	8	168	15
22	2	0	0	15	1	4	24	7
30	2	0	0	3	1	3	360	5
34	2	0	0	7	2	7	144	13
42	2	0	0	14	1	2	336	4
46	2	0	0	6	1	5	48	10
50	2	0	0	22	2	10	216	20
54	2	0	0	13	1	2	336	3
62	2	0	0	11	2	11	240	21
66	2	0	0	2	1	1	312	2
70	2	0	0	16	1	4	24	8
74	2	0	0	18	1	6	72	12
78	2	0	0	5	1	5	48	9
82	2	0	0	12	2	11	240	22
86	2	0	0	17	1	6	72	11
90	2	0	0	24	2	12	264	24
98	2	0	0	23	2	12	264	23
102	2	0	0	10	2	9	192	18
106	2	0	0	1	1	1	312	1
110	2	0	0	21	2	10	216	19
114	2	0	0	9	2	9	192	17
122	2	0	0	8	2	7	144	14
126	2	0	0	4	1	3	360	6
130	2	0	0	20	2	8	168	16
134	2	0	0	4	1	3	360	6
138	2	0	0	22	2	10	216	20
146	2	0	0	5	1	5	48	9
150	2	0	0	13	1	2	336	3
154	2	0	0	17	1	6	72	11
162	2	0	0	14	1	2	336	4
166	2	0	0	3	1	3	360	5
170	2	0	0	19	2	8	168	15
174	2	0	0	18	1	6	72	12
178	2	0	0	15	1	4	24	7
186	2	0	0	6	1	5	48	10
190	2	0	0	16	1	4	24	8
194	2	0	0	1	1	1	312	1
202	2	0	0	8	2	7	144	14
206	2	0	0	9	2	9	192	17
210	2	0	0	12	2	11	240	22
214	2	0	0	21	2	10	216	19
218	2	0	0	2	1	1	312	2
222	2	0	0	23	2	12	264	23
230	2	0	0	11	2	11	240	21
234	2	0	0	24	2	12	264	24
238	2	0	0	7	2	7	144	13
246	2	0	0	10	2	9	192	18
