onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	12	2	11	192	22
16	4	0	0	4	1	3	312	6
22	4	0	0	9	2	9	144	17
34	4	0	0	18	1	6	24	12
40	4	0	0	2	1	1	264	2
46	4	0	0	14	1	2	288	4
52	4	0	0	24	2	12	216	24
58	4	0	0	17	1	6	24	11
64	4	0	0	1	1	1	264	1
76	4	0	0	22	2	10	168	20
82	4	0	0	13	1	2	288	3
88	4	0	0	21	2	10	168	19
100	4	0	0	23	2	12	216	23
106	4	0	0	5	1	5	360	9
118	4	0	0	10	2	9	144	18
124	4	0	0	3	1	3	312	5
130	4	0	0	15	1	4	336	7
136	4	0	0	16	1	4	336	8
142	4	0	0	8	2	7	96	14
148	4	0	0	20	2	8	120	16
160	4	0	0	19	2	8	120	15
166	4	0	0	11	2	11	192	21
172	4	0	0	6	1	5	360	10
178	4	0	0	7	2	7	96	13
184	4	0	0	9	2	9	144	17
190	4	0	0	16	1	4	336	8
202	4	0	0	6	1	5	360	10
208	4	0	0	12	2	11	192	22
214	4	0	0	3	1	3	312	5
220	4	0	0	10	2	9	144	18
232	4	0	0	8	2	7	96	14
238	4	0	0	19	2	8	120	15
244	4	0	0	13	1	2	288	3
256	4	0	0	7	2	7	96	13
262	4	0	0	1	1	1	264	1
268	4	0	0	4	1	3	312	6
274	4	0	0	17	1	6	24	11
280	4	0	0	11	2	11	192	21
286	4	0	0	22	2	10	168	20
298	4	0	0	5	1	5	360	9
304	4	0	0	20	2	8	120	16
310	4	0	0	2	1	1	264	2
322	4	0	0	21	2	10	168	19
334	4	0	0	18	1	6	24	12
340	4	0	0	14	1	2	288	4
352	4	0	0	23	2	12	216	23
358	4	0	0	24	2	12	216	24
364	4	0	0	15	1	4	336	7
