onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	11	2	11	48	21
22	4	0	0	13	1	2	144	3
28	4	0	0	20	2	8	336	16
34	4	0	0	14	1	2	144	4
40	4	0	0	6	1	5	216	10
52	4	0	0	19	2	8	336	15
58	4	0	0	16	1	4	192	8
64	4	0	0	21	2	10	24	19
70	4	0	0	4	1	3	168	6
76	4	0	0	7	2	7	312	13
82	4	0	0	1	1	1	120	1
88	4	0	0	12	2	11	48	22
100	4	0	0	18	1	6	240	12
112	4	0	0	24	2	12	72	24
118	4	0	0	15	1	4	192	7
124	4	0	0	8	2	7	312	14
136	4	0	0	3	1	3	168	5
142	4	0	0	22	2	10	24	20
148	4	0	0	23	2	12	72	23
160	4	0	0	5	1	5	216	9
172	4	0	0	17	1	6	240	11
178	4	0	0	2	1	1	120	2
184	4	0	0	10	2	9	360	18
190	4	0	0	9	2	9	360	17
196	4	0	0	2	1	1	120	2
202	4	0	0	23	2	12	72	23
208	4	0	0	19	2	8	336	15
220	4	0	0	13	1	2	144	3
232	4	0	0	24	2	12	72	24
238	4	0	0	5	1	5	216	9
244	4	0	0	7	2	7	312	13
250	4	0	0	1	1	1	120	1
256	4	0	0	4	1	3	168	6
262	4	0	0	17	1	6	240	11
268	4	0	0	16	1	4	192	8
274	4	0	0	6	1	5	216	10
280	4	0	0	3	1	3	168	5
286	4	0	0	12	2	11	48	22
292	4	0	0	20	2	8	336	16
298	4	0	0	8	2	7	312	14
304	4	0	0	18	1	6	240	12
310	4	0	0	14	1	2	144	4
316	4	0	0	21	2	10	24	19
328	4	0	0	9	2	9	360	17
334	4	0	0	11	2	11	48	21
346	4	0	0	15	1	4	192	7
358	4	0	0	10	2	9	360	18
364	4	0	0	22	2	10	24	20
