onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	1	1	1	336	1
16	4	0	0	10	2	9	216	18
28	4	0	0	23	2	12	288	23
34	4	0	0	14	1	2	360	4
40	4	0	0	22	2	10	240	20
46	4	0	0	7	2	7	168	13
52	4	0	0	24	2	12	288	24
58	4	0	0	18	1	6	96	12
64	4	0	0	21	2	10	240	19
76	4	0	0	11	2	11	264	21
82	4	0	0	5	1	5	72	9
88	4	0	0	8	2	7	168	14
94	4	0	0	4	1	3	24	6
106	4	0	0	9	2	9	216	17
112	4	0	0	6	1	5	72	10
118	4	0	0	3	1	3	24	5
124	4	0	0	15	1	4	48	7
136	4	0	0	16	1	4	48	8
148	4	0	0	17	1	6	96	11
154	4	0	0	13	1	2	360	3
160	4	0	0	20	2	8	192	16
166	4	0	0	12	2	11	264	22
172	4	0	0	19	2	8	192	15
178	4	0	0	2	1	1	336	2
190	4	0	0	2	1	1	336	2
202	4	0	0	12	2	11	264	22
208	4	0	0	5	1	5	72	9
220	4	0	0	6	1	5	72	10
226	4	0	0	14	1	2	360	4
238	4	0	0	23	2	12	288	23
244	4	0	0	7	2	7	168	13
250	4	0	0	8	2	7	168	14
256	4	0	0	11	2	11	264	21
262	4	0	0	3	1	3	24	5
268	4	0	0	10	2	9	216	18
280	4	0	0	9	2	9	216	17
286	4	0	0	4	1	3	24	6
298	4	0	0	13	1	2	360	3
304	4	0	0	16	1	4	48	8
316	4	0	0	22	2	10	240	20
322	4	0	0	15	1	4	48	7
328	4	0	0	20	2	8	192	16
334	4	0	0	21	2	10	240	19
340	4	0	0	1	1	1	336	1
346	4	0	0	18	1	6	96	12
352	4	0	0	17	1	6	96	11
358	4	0	0	19	2	8	192	15
364	4	0	0	24	2	12	288	24
