onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	19	2	8	144	15
14	2	0	0	9	2	9	168	17
18	2	0	0	3	1	3	336	5
22	2	0	0	20	2	8	144	16
26	2	0	0	11	2	11	216	21
30	2	0	0	12	2	11	216	22
34	2	0	0	17	1	6	48	11
38	2	0	0	13	1	2	312	3
42	2	0	0	2	1	1	288	2
46	2	0	0	1	1	1	288	1
50	2	0	0	6	1	5	24	10
54	2	0	0	15	1	4	360	7
58	2	0	0	24	2	12	240	24
62	2	0	0	5	1	5	24	9
66	2	0	0	23	2	12	240	23
74	2	0	0	18	1	6	48	12
78	2	0	0	22	2	10	192	20
82	2	0	0	21	2	10	192	19
86	2	0	0	8	2	7	120	14
94	2	0	0	10	2	9	168	18
102	2	0	0	7	2	7	120	13
106	2	0	0	14	1	2	312	4
114	2	0	0	4	1	3	336	6
122	2	0	0	16	1	4	360	8
130	2	0	0	12	2	11	216	22
138	2	0	0	6	1	5	24	10
142	2	0	0	4	1	3	336	6
146	2	0	0	7	2	7	120	13
150	2	0	0	23	2	12	240	23
154	2	0	0	13	1	2	312	3
158	2	0	0	18	1	6	48	12
162	2	0	0	19	2	8	144	15
170	2	0	0	16	1	4	360	8
174	2	0	0	8	2	7	120	14
182	2	0	0	3	1	3	336	5
186	2	0	0	21	2	10	192	19
190	2	0	0	22	2	10	192	20
198	2	0	0	15	1	4	360	7
202	2	0	0	14	1	2	312	4
206	2	0	0	20	2	8	144	16
214	2	0	0	1	1	1	288	1
218	2	0	0	11	2	11	216	21
222	2	0	0	9	2	9	168	17
226	2	0	0	10	2	9	168	18
234	2	0	0	2	1	1	288	2
238	2	0	0	24	2	12	240	24
242	2	0	0	17	1	6	48	11
246	2	0	0	5	1	5	24	9
