onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	12	2	11	312	22
14	2	0	0	10	2	9	264	18
18	2	0	0	19	2	8	240	15
22	2	0	0	22	2	10	288	20
26	2	0	0	4	1	3	72	6
30	2	0	0	21	2	10	288	19
34	2	0	0	1	1	1	24	1
42	2	0	0	9	2	9	264	17
46	2	0	0	24	2	12	336	24
50	2	0	0	7	2	7	216	13
54	2	0	0	14	1	2	48	4
58	2	0	0	11	2	11	312	21
62	2	0	0	3	1	3	72	5
66	2	0	0	18	1	6	144	12
70	2	0	0	5	1	5	120	9
74	2	0	0	8	2	7	216	14
78	2	0	0	23	2	12	336	23
82	2	0	0	15	1	4	96	7
90	2	0	0	13	1	2	48	3
94	2	0	0	20	2	8	240	16
98	2	0	0	17	1	6	144	11
102	2	0	0	6	1	5	120	10
110	2	0	0	2	1	1	24	2
114	2	0	0	16	1	4	96	8
122	2	0	0	1	1	1	24	1
126	2	0	0	8	2	7	216	14
134	2	0	0	12	2	11	312	22
138	2	0	0	6	1	5	120	10
146	2	0	0	21	2	10	288	19
150	2	0	0	24	2	12	336	24
158	2	0	0	7	2	7	216	13
162	2	0	0	14	1	2	48	4
170	2	0	0	5	1	5	120	9
174	2	0	0	4	1	3	72	6
178	2	0	0	16	1	4	96	8
182	2	0	0	15	1	4	96	7
190	2	0	0	2	1	1	24	2
194	2	0	0	3	1	3	72	5
198	2	0	0	18	1	6	144	12
206	2	0	0	23	2	12	336	23
210	2	0	0	19	2	8	240	15
214	2	0	0	10	2	9	264	18
222	2	0	0	13	1	2	48	3
226	2	0	0	20	2	8	240	16
230	2	0	0	9	2	9	264	17
234	2	0	0	11	2	11	312	21
242	2	0	0	22	2	10	288	20
246	2	0	0	17	1	6	144	11
