onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	4	1	3	72	6
14	2	0	0	12	2	11	312	22
22	2	0	0	7	2	7	216	13
26	2	0	0	9	2	9	264	17
34	2	0	0	14	1	2	48	4
38	2	0	0	17	1	6	144	11
42	2	0	0	18	1	6	144	12
46	2	0	0	1	1	1	24	1
54	2	0	0	24	2	12	336	24
58	2	0	0	13	1	2	48	3
62	2	0	0	20	2	8	240	16
66	2	0	0	8	2	7	216	14
74	2	0	0	10	2	9	264	18
78	2	0	0	16	1	4	96	8
82	2	0	0	3	1	3	72	5
86	2	0	0	15	1	4	96	7
90	2	0	0	5	1	5	120	9
98	2	0	0	11	2	11	312	21
102	2	0	0	23	2	12	336	23
106	2	0	0	2	1	1	24	2
110	2	0	0	22	2	10	288	20
114	2	0	0	21	2	10	288	19
118	2	0	0	6	1	5	120	10
122	2	0	0	19	2	8	240	15
126	2	0	0	11	2	11	312	21
130	2	0	0	23	2	12	336	23
134	2	0	0	15	1	4	96	7
138	2	0	0	3	1	3	72	5
146	2	0	0	6	1	5	120	10
150	2	0	0	13	1	2	48	3
154	2	0	0	16	1	4	96	8
158	2	0	0	7	2	7	216	13
166	2	0	0	19	2	8	240	15
170	2	0	0	22	2	10	288	20
174	2	0	0	18	1	6	144	12
178	2	0	0	20	2	8	240	16
186	2	0	0	1	1	1	24	1
190	2	0	0	14	1	2	48	4
198	2	0	0	17	1	6	144	11
202	2	0	0	2	1	1	24	2
206	2	0	0	9	2	9	264	17
210	2	0	0	12	2	11	312	22
218	2	0	0	8	2	7	216	14
226	2	0	0	4	1	3	72	6
230	2	0	0	21	2	10	288	19
234	2	0	0	24	2	12	336	24
238	2	0	0	10	2	9	264	18
246	2	0	0	5	1	5	120	9
