onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	6	1	5	360	10
22	4	0	0	23	2	12	216	23
34	4	0	0	20	2	8	120	16
40	4	0	0	10	2	9	144	18
52	4	0	0	7	2	7	96	13
64	4	0	0	19	2	8	120	15
70	4	0	0	5	1	5	360	9
76	4	0	0	13	1	2	288	3
82	4	0	0	17	1	6	24	11
88	4	0	0	16	1	4	336	8
94	4	0	0	22	2	10	168	20
100	4	0	0	12	2	11	192	22
106	4	0	0	1	1	1	264	1
112	4	0	0	11	2	11	192	21
124	4	0	0	2	1	1	264	2
130	4	0	0	8	2	7	96	14
136	4	0	0	4	1	3	312	6
142	4	0	0	15	1	4	336	7
148	4	0	0	14	1	2	288	4
154	4	0	0	24	2	12	216	24
166	4	0	0	18	1	6	24	12
172	4	0	0	21	2	10	168	19
184	4	0	0	3	1	3	312	5
196	4	0	0	9	2	9	144	17
202	4	0	0	19	2	8	120	15
208	4	0	0	14	1	2	288	4
214	4	0	0	6	1	5	360	10
220	4	0	0	2	1	1	264	2
232	4	0	0	20	2	8	120	16
244	4	0	0	5	1	5	360	9
250	4	0	0	3	1	3	312	5
256	4	0	0	15	1	4	336	7
262	4	0	0	1	1	1	264	1
268	4	0	0	10	2	9	144	18
274	4	0	0	17	1	6	24	11
280	4	0	0	12	2	11	192	22
286	4	0	0	9	2	9	144	17
292	4	0	0	8	2	7	96	14
298	4	0	0	11	2	11	192	21
304	4	0	0	23	2	12	216	23
310	4	0	0	21	2	10	168	19
322	4	0	0	16	1	4	336	8
328	4	0	0	13	1	2	288	3
334	4	0	0	7	2	7	96	13
340	4	0	0	4	1	3	312	6
346	4	0	0	22	2	10	168	20
352	4	0	0	24	2	12	216	24
364	4	0	0	18	1	6	24	12
