onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	20	2	8	192	16
18	2	0	0	3	1	3	24	5
22	2	0	0	21	2	10	240	19
26	2	0	0	17	1	6	96	11
30	2	0	0	1	1	1	336	1
34	2	0	0	11	2	11	264	21
42	2	0	0	6	1	5	72	10
46	2	0	0	12	2	11	264	22
54	2	0	0	7	2	7	168	13
58	2	0	0	14	1	2	360	4
66	2	0	0	5	1	5	72	9
74	2	0	0	24	2	12	288	24
78	2	0	0	23	2	12	288	23
86	2	0	0	8	2	7	168	14
94	2	0	0	16	1	4	48	8
98	2	0	0	13	1	2	360	3
102	2	0	0	22	2	10	240	20
106	2	0	0	2	1	1	336	2
114	2	0	0	19	2	8	192	15
122	2	0	0	10	2	9	216	18
126	2	0	0	4	1	3	24	6
130	2	0	0	15	1	4	48	7
134	2	0	0	18	1	6	96	12
138	2	0	0	9	2	9	216	17
142	2	0	0	15	1	4	48	7
150	2	0	0	7	2	7	168	13
154	2	0	0	20	2	8	192	16
158	2	0	0	19	2	8	192	15
162	2	0	0	16	1	4	48	8
166	2	0	0	13	1	2	360	3
170	2	0	0	21	2	10	240	19
174	2	0	0	9	2	9	216	17
178	2	0	0	24	2	12	288	24
182	2	0	0	1	1	1	336	1
186	2	0	0	11	2	11	264	21
190	2	0	0	14	1	2	360	4
194	2	0	0	5	1	5	72	9
198	2	0	0	22	2	10	240	20
202	2	0	0	12	2	11	264	22
206	2	0	0	8	2	7	168	14
214	2	0	0	10	2	9	216	18
218	2	0	0	4	1	3	24	6
222	2	0	0	3	1	3	24	5
226	2	0	0	2	1	1	336	2
234	2	0	0	17	1	6	96	11
238	2	0	0	6	1	5	72	10
242	2	0	0	18	1	6	96	12
246	2	0	0	23	2	12	288	23
