onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	15	1	4	96	7
18	2	0	0	14	1	2	48	4
26	2	0	0	19	2	8	240	15
34	2	0	0	3	1	3	72	5
38	2	0	0	9	2	9	264	17
42	2	0	0	23	2	12	336	23
46	2	0	0	8	2	7	216	14
50	2	0	0	11	2	11	312	21
54	2	0	0	10	2	9	264	18
58	2	0	0	16	1	4	96	8
62	2	0	0	17	1	6	144	11
66	2	0	0	7	2	7	216	13
70	2	0	0	21	2	10	288	19
78	2	0	0	6	1	5	120	10
82	2	0	0	20	2	8	240	16
86	2	0	0	4	1	3	72	6
90	2	0	0	2	1	1	24	2
98	2	0	0	12	2	11	312	22
106	2	0	0	5	1	5	120	9
110	2	0	0	22	2	10	288	20
114	2	0	0	13	1	2	48	3
118	2	0	0	24	2	12	336	24
122	2	0	0	1	1	1	24	1
126	2	0	0	18	1	6	144	12
130	2	0	0	4	1	3	72	6
134	2	0	0	16	1	4	96	8
138	2	0	0	13	1	2	48	3
142	2	0	0	8	2	7	216	14
146	2	0	0	5	1	5	120	9
150	2	0	0	23	2	12	336	23
154	2	0	0	2	1	1	24	2
158	2	0	0	7	2	7	216	13
162	2	0	0	17	1	6	144	11
170	2	0	0	11	2	11	312	21
178	2	0	0	24	2	12	336	24
182	2	0	0	15	1	4	96	7
186	2	0	0	22	2	10	288	20
194	2	0	0	9	2	9	264	17
198	2	0	0	3	1	3	72	5
202	2	0	0	14	1	2	48	4
206	2	0	0	18	1	6	144	12
214	2	0	0	1	1	1	24	1
222	2	0	0	10	2	9	264	18
230	2	0	0	12	2	11	312	22
234	2	0	0	21	2	10	288	19
238	2	0	0	6	1	5	120	10
242	2	0	0	20	2	8	240	16
246	2	0	0	19	2	8	240	15
