onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	15	1	4	96	7
22	4	0	0	16	1	4	96	8
28	4	0	0	11	2	11	312	21
34	4	0	0	21	2	10	288	19
40	4	0	0	13	1	2	48	3
52	4	0	0	3	1	3	72	5
58	4	0	0	17	1	6	144	11
64	4	0	0	20	2	8	240	16
70	4	0	0	6	1	5	120	10
76	4	0	0	10	2	9	264	18
82	4	0	0	8	2	7	216	14
88	4	0	0	24	2	12	336	24
94	4	0	0	5	1	5	120	9
100	4	0	0	1	1	1	24	1
106	4	0	0	22	2	10	288	20
112	4	0	0	19	2	8	240	15
118	4	0	0	12	2	11	312	22
124	4	0	0	18	1	6	144	12
136	4	0	0	7	2	7	216	13
148	4	0	0	2	1	1	24	2
154	4	0	0	4	1	3	72	6
160	4	0	0	9	2	9	264	17
166	4	0	0	14	1	2	48	4
172	4	0	0	23	2	12	336	23
178	4	0	0	3	1	3	72	5
184	4	0	0	5	1	5	120	9
190	4	0	0	12	2	11	312	22
196	4	0	0	19	2	8	240	15
208	4	0	0	4	1	3	72	6
214	4	0	0	18	1	6	144	12
226	4	0	0	23	2	12	336	23
232	4	0	0	24	2	12	336	24
244	4	0	0	13	1	2	48	3
256	4	0	0	8	2	7	216	14
262	4	0	0	10	2	9	264	18
274	4	0	0	7	2	7	216	13
280	4	0	0	15	1	4	96	7
292	4	0	0	17	1	6	144	11
298	4	0	0	16	1	4	96	8
304	4	0	0	20	2	8	240	16
310	4	0	0	2	1	1	24	2
322	4	0	0	1	1	1	24	1
334	4	0	0	21	2	10	288	19
340	4	0	0	14	1	2	48	4
346	4	0	0	6	1	5	120	10
352	4	0	0	11	2	11	312	21
358	4	0	0	9	2	9	264	17
364	4	0	0	22	2	10	288	20
