onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	22	2	10	288	20
14	2	0	0	12	2	11	312	22
18	2	0	0	11	2	11	312	21
22	2	0	0	4	1	3	72	6
26	2	0	0	19	2	8	240	15
30	2	0	0	23	2	12	336	23
34	2	0	0	5	1	5	120	9
38	2	0	0	7	2	7	216	13
42	2	0	0	21	2	10	288	19
50	2	0	0	2	1	1	24	2
54	2	0	0	14	1	2	48	4
58	2	0	0	8	2	7	216	14
62	2	0	0	9	2	9	264	17
66	2	0	0	20	2	8	240	16
70	2	0	0	6	1	5	120	10
74	2	0	0	10	2	9	264	18
82	2	0	0	17	1	6	144	11
86	2	0	0	3	1	3	72	5
94	2	0	0	15	1	4	96	7
98	2	0	0	24	2	12	336	24
102	2	0	0	13	1	2	48	3
106	2	0	0	18	1	6	144	12
110	2	0	0	16	1	4	96	8
118	2	0	0	1	1	1	24	1
126	2	0	0	5	1	5	120	9
130	2	0	0	1	1	1	24	1
134	2	0	0	17	1	6	144	11
138	2	0	0	23	2	12	336	23
142	2	0	0	24	2	12	336	24
146	2	0	0	19	2	8	240	15
150	2	0	0	2	1	1	24	2
158	2	0	0	15	1	4	96	7
162	2	0	0	22	2	10	288	20
166	2	0	0	6	1	5	120	10
170	2	0	0	18	1	6	144	12
174	2	0	0	7	2	7	216	13
178	2	0	0	12	2	11	312	22
186	2	0	0	14	1	2	48	4
190	2	0	0	10	2	9	264	18
198	2	0	0	4	1	3	72	6
206	2	0	0	13	1	2	48	3
210	2	0	0	16	1	4	96	8
214	2	0	0	11	2	11	312	21
218	2	0	0	8	2	7	216	14
226	2	0	0	9	2	9	264	17
230	2	0	0	20	2	8	240	16
238	2	0	0	3	1	3	72	5
246	2	0	0	21	2	10	288	19
