onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	7	2	7	312	13
18	2	0	0	8	2	7	312	14
22	2	0	0	2	1	1	120	2
26	2	0	0	22	2	10	24	20
30	2	0	0	3	1	3	168	5
38	2	0	0	18	1	6	240	12
42	2	0	0	5	1	5	216	9
46	2	0	0	15	1	4	192	7
54	2	0	0	10	2	9	360	18
58	2	0	0	6	1	5	216	10
62	2	0	0	1	1	1	120	1
70	2	0	0	16	1	4	192	8
74	2	0	0	23	2	12	72	23
78	2	0	0	13	1	2	144	3
82	2	0	0	9	2	9	360	17
86	2	0	0	19	2	8	336	15
90	2	0	0	20	2	8	336	16
94	2	0	0	24	2	12	72	24
102	2	0	0	4	1	3	168	6
106	2	0	0	17	1	6	240	11
110	2	0	0	21	2	10	24	19
114	2	0	0	14	1	2	144	4
118	2	0	0	11	2	11	48	21
122	2	0	0	12	2	11	48	22
130	2	0	0	13	1	2	144	3
134	2	0	0	12	2	11	48	22
138	2	0	0	16	1	4	192	8
142	2	0	0	22	2	10	24	20
150	2	0	0	10	2	9	360	18
154	2	0	0	17	1	6	240	11
158	2	0	0	5	1	5	216	9
162	2	0	0	21	2	10	24	19
170	2	0	0	4	1	3	168	6
174	2	0	0	2	1	1	120	2
178	2	0	0	9	2	9	360	17
186	2	0	0	14	1	2	144	4
190	2	0	0	20	2	8	336	16
194	2	0	0	15	1	4	192	7
202	2	0	0	24	2	12	72	24
206	2	0	0	6	1	5	216	10
210	2	0	0	18	1	6	240	12
218	2	0	0	23	2	12	72	23
222	2	0	0	7	2	7	312	13
226	2	0	0	19	2	8	336	15
230	2	0	0	8	2	7	312	14
234	2	0	0	3	1	3	168	5
242	2	0	0	1	1	1	120	1
246	2	0	0	11	2	11	48	21
