onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	21	2	10	24	19
14	2	0	0	18	1	6	240	12
22	2	0	0	11	2	11	48	21
30	2	0	0	10	2	9	360	18
34	2	0	0	13	1	2	144	3
42	2	0	0	23	2	12	72	23
46	2	0	0	17	1	6	240	11
50	2	0	0	15	1	4	192	7
54	2	0	0	8	2	7	312	14
58	2	0	0	7	2	7	312	13
66	2	0	0	12	2	11	48	22
70	2	0	0	3	1	3	168	5
74	2	0	0	16	1	4	192	8
78	2	0	0	2	1	1	120	2
82	2	0	0	24	2	12	72	24
86	2	0	0	6	1	5	216	10
90	2	0	0	22	2	10	24	20
94	2	0	0	20	2	8	336	16
98	2	0	0	1	1	1	120	1
102	2	0	0	19	2	8	336	15
106	2	0	0	14	1	2	144	4
110	2	0	0	9	2	9	360	17
118	2	0	0	5	1	5	216	9
122	2	0	0	4	1	3	168	6
126	2	0	0	10	2	9	360	18
134	2	0	0	15	1	4	192	7
142	2	0	0	22	2	10	24	20
150	2	0	0	18	1	6	240	12
154	2	0	0	13	1	2	144	3
158	2	0	0	2	1	1	120	2
162	2	0	0	5	1	5	216	9
166	2	0	0	4	1	3	168	6
170	2	0	0	3	1	3	168	5
174	2	0	0	17	1	6	240	11
178	2	0	0	23	2	12	72	23
182	2	0	0	11	2	11	48	21
190	2	0	0	14	1	2	144	4
194	2	0	0	6	1	5	216	10
198	2	0	0	21	2	10	24	19
206	2	0	0	19	2	8	336	15
210	2	0	0	20	2	8	336	16
218	2	0	0	12	2	11	48	22
222	2	0	0	9	2	9	360	17
226	2	0	0	7	2	7	312	13
230	2	0	0	24	2	12	72	24
234	2	0	0	1	1	1	120	1
238	2	0	0	16	1	4	192	8
246	2	0	0	8	2	7	312	14
