onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	16	1	4	24	8
18	2	0	0	23	2	12	264	23
26	2	0	0	15	1	4	24	7
34	2	0	0	11	2	11	240	21
38	2	0	0	18	1	6	72	12
42	2	0	0	3	1	3	360	5
46	2	0	0	17	1	6	72	11
50	2	0	0	21	2	10	216	19
58	2	0	0	2	1	1	312	2
62	2	0	0	13	1	2	336	3
70	2	0	0	22	2	10	216	20
74	2	0	0	8	2	7	144	14
78	2	0	0	9	2	9	192	17
82	2	0	0	7	2	7	144	13
90	2	0	0	1	1	1	312	1
94	2	0	0	5	1	5	48	9
98	2	0	0	24	2	12	264	24
102	2	0	0	12	2	11	240	22
106	2	0	0	4	1	3	360	6
110	2	0	0	14	1	2	336	4
114	2	0	0	20	2	8	168	16
118	2	0	0	6	1	5	48	10
122	2	0	0	19	2	8	168	15
126	2	0	0	10	2	9	192	18
134	2	0	0	1	1	1	312	1
138	2	0	0	24	2	12	264	24
142	2	0	0	15	1	4	24	7
146	2	0	0	22	2	10	216	20
150	2	0	0	13	1	2	336	3
154	2	0	0	9	2	9	192	17
158	2	0	0	4	1	3	360	6
162	2	0	0	10	2	9	192	18
166	2	0	0	14	1	2	336	4
170	2	0	0	20	2	8	168	16
174	2	0	0	17	1	6	72	11
178	2	0	0	19	2	8	168	15
186	2	0	0	11	2	11	240	21
190	2	0	0	6	1	5	48	10
194	2	0	0	3	1	3	360	5
198	2	0	0	2	1	1	312	2
206	2	0	0	12	2	11	240	22
210	2	0	0	23	2	12	264	23
214	2	0	0	7	2	7	144	13
218	2	0	0	5	1	5	48	9
226	2	0	0	8	2	7	144	14
234	2	0	0	18	1	6	72	12
242	2	0	0	21	2	10	216	19
246	2	0	0	16	1	4	24	8
