onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	5	1	5	48	9
16	4	0	0	7	2	7	144	13
22	4	0	0	12	2	11	240	22
28	4	0	0	20	2	8	168	16
40	4	0	0	22	2	10	216	20
46	4	0	0	21	2	10	216	19
58	4	0	0	9	2	9	192	17
64	4	0	0	1	1	1	312	1
70	4	0	0	14	1	2	336	4
76	4	0	0	4	1	3	360	6
88	4	0	0	24	2	12	264	24
94	4	0	0	10	2	9	192	18
100	4	0	0	3	1	3	360	5
112	4	0	0	16	1	4	24	8
118	4	0	0	8	2	7	144	14
124	4	0	0	15	1	4	24	7
130	4	0	0	13	1	2	336	3
142	4	0	0	23	2	12	264	23
154	4	0	0	17	1	6	72	11
160	4	0	0	18	1	6	72	12
166	4	0	0	2	1	1	312	2
172	4	0	0	19	2	8	168	15
178	4	0	0	6	1	5	48	10
184	4	0	0	11	2	11	240	21
190	4	0	0	20	2	8	168	16
196	4	0	0	17	1	6	72	11
208	4	0	0	8	2	7	144	14
214	4	0	0	4	1	3	360	6
220	4	0	0	16	1	4	24	8
232	4	0	0	1	1	1	312	1
238	4	0	0	24	2	12	264	24
244	4	0	0	22	2	10	216	20
256	4	0	0	19	2	8	168	15
262	4	0	0	6	1	5	48	10
268	4	0	0	7	2	7	144	13
274	4	0	0	12	2	11	240	22
280	4	0	0	9	2	9	192	17
286	4	0	0	18	1	6	72	12
292	4	0	0	11	2	11	240	21
304	4	0	0	5	1	5	48	9
316	4	0	0	2	1	1	312	2
322	4	0	0	23	2	12	264	23
328	4	0	0	14	1	2	336	4
334	4	0	0	21	2	10	216	19
340	4	0	0	15	1	4	24	7
352	4	0	0	10	2	9	192	18
358	4	0	0	3	1	3	360	5
364	4	0	0	13	1	2	336	3
