onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	13	1	2	312	3
16	4	0	0	22	2	10	192	20
22	4	0	0	20	2	8	144	16
28	4	0	0	9	2	9	168	17
40	4	0	0	12	2	11	216	22
52	4	0	0	15	1	4	360	7
58	4	0	0	19	2	8	144	15
64	4	0	0	17	1	6	48	11
70	4	0	0	4	1	3	336	6
82	4	0	0	1	1	1	288	1
88	4	0	0	2	1	1	288	2
94	4	0	0	11	2	11	216	21
106	4	0	0	10	2	9	168	18
112	4	0	0	14	1	2	312	4
118	4	0	0	18	1	6	48	12
124	4	0	0	16	1	4	360	8
130	4	0	0	24	2	12	240	24
142	4	0	0	5	1	5	24	9
154	4	0	0	8	2	7	120	14
160	4	0	0	7	2	7	120	13
166	4	0	0	23	2	12	240	23
178	4	0	0	6	1	5	24	10
184	4	0	0	21	2	10	192	19
190	4	0	0	3	1	3	336	5
196	4	0	0	3	1	3	336	5
202	4	0	0	20	2	8	144	16
214	4	0	0	2	1	1	288	2
220	4	0	0	15	1	4	360	7
232	4	0	0	10	2	9	168	18
238	4	0	0	12	2	11	216	22
244	4	0	0	18	1	6	48	12
250	4	0	0	17	1	6	48	11
256	4	0	0	7	2	7	120	13
262	4	0	0	13	1	2	312	3
268	4	0	0	23	2	12	240	23
280	4	0	0	9	2	9	168	17
286	4	0	0	4	1	3	336	6
292	4	0	0	6	1	5	24	10
298	4	0	0	11	2	11	216	21
304	4	0	0	19	2	8	144	15
310	4	0	0	5	1	5	24	9
316	4	0	0	14	1	2	312	4
328	4	0	0	24	2	12	240	24
340	4	0	0	1	1	1	288	1
346	4	0	0	8	2	7	120	14
352	4	0	0	22	2	10	192	20
358	4	0	0	16	1	4	360	8
364	4	0	0	21	2	10	192	19
