onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	24	2	12	264	24
14	2	0	0	16	1	4	24	8
18	2	0	0	15	1	4	24	7
22	2	0	0	18	1	6	72	12
26	2	0	0	4	1	3	360	6
34	2	0	0	3	1	3	360	5
38	2	0	0	8	2	7	144	14
42	2	0	0	14	1	2	336	4
46	2	0	0	17	1	6	72	11
50	2	0	0	7	2	7	144	13
58	2	0	0	10	2	9	192	18
62	2	0	0	5	1	5	48	9
70	2	0	0	1	1	1	312	1
78	2	0	0	20	2	8	168	16
82	2	0	0	19	2	8	168	15
90	2	0	0	13	1	2	336	3
94	2	0	0	2	1	1	312	2
102	2	0	0	6	1	5	48	10
110	2	0	0	22	2	10	216	20
114	2	0	0	9	2	9	192	17
118	2	0	0	11	2	11	240	21
122	2	0	0	12	2	11	240	22
130	2	0	0	21	2	10	216	19
134	2	0	0	23	2	12	264	23
142	2	0	0	6	1	5	48	10
146	2	0	0	17	1	6	72	11
150	2	0	0	16	1	4	24	8
154	2	0	0	9	2	9	192	17
158	2	0	0	21	2	10	216	19
162	2	0	0	24	2	12	264	24
166	2	0	0	22	2	10	216	20
170	2	0	0	11	2	11	240	21
174	2	0	0	15	1	4	24	7
178	2	0	0	5	1	5	48	9
182	2	0	0	18	1	6	72	12
186	2	0	0	4	1	3	360	6
190	2	0	0	7	2	7	144	13
194	2	0	0	3	1	3	360	5
202	2	0	0	23	2	12	264	23
206	2	0	0	20	2	8	168	16
210	2	0	0	14	1	2	336	4
214	2	0	0	12	2	11	240	22
218	2	0	0	1	1	1	312	1
222	2	0	0	10	2	9	192	18
226	2	0	0	8	2	7	144	14
234	2	0	0	13	1	2	336	3
238	2	0	0	2	1	1	312	2
246	2	0	0	19	2	8	168	15
