onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	13	1	2	336	3
22	4	0	0	7	2	7	144	13
34	4	0	0	12	2	11	240	22
46	4	0	0	18	1	6	72	12
52	4	0	0	10	2	9	192	18
58	4	0	0	17	1	6	72	11
64	4	0	0	6	1	5	48	10
76	4	0	0	9	2	9	192	17
82	4	0	0	19	2	8	168	15
88	4	0	0	20	2	8	168	16
100	4	0	0	3	1	3	360	5
112	4	0	0	16	1	4	24	8
124	4	0	0	8	2	7	144	14
130	4	0	0	21	2	10	216	19
136	4	0	0	1	1	1	312	1
142	4	0	0	15	1	4	24	7
148	4	0	0	2	1	1	312	2
154	4	0	0	5	1	5	48	9
160	4	0	0	22	2	10	216	20
166	4	0	0	23	2	12	264	23
178	4	0	0	11	2	11	240	21
190	4	0	0	14	1	2	336	4
196	4	0	0	24	2	12	264	24
202	4	0	0	4	1	3	360	6
208	4	0	0	1	1	1	312	1
220	4	0	0	24	2	12	264	24
226	4	0	0	15	1	4	24	7
238	4	0	0	18	1	6	72	12
244	4	0	0	10	2	9	192	18
250	4	0	0	13	1	2	336	3
256	4	0	0	3	1	3	360	5
262	4	0	0	23	2	12	264	23
268	4	0	0	16	1	4	24	8
274	4	0	0	5	1	5	48	9
280	4	0	0	11	2	11	240	21
286	4	0	0	7	2	7	144	13
292	4	0	0	17	1	6	72	11
298	4	0	0	2	1	1	312	2
304	4	0	0	4	1	3	360	6
310	4	0	0	12	2	11	240	22
316	4	0	0	21	2	10	216	19
322	4	0	0	9	2	9	192	17
328	4	0	0	22	2	10	216	20
334	4	0	0	19	2	8	168	15
340	4	0	0	8	2	7	144	14
352	4	0	0	6	1	5	48	10
358	4	0	0	20	2	8	168	16
364	4	0	0	14	1	2	336	4
