onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	21	2	10	336	19
16	4	0	0	22	2	10	336	20
22	4	0	0	9	2	9	312	17
28	4	0	0	8	2	7	264	14
34	4	0	0	7	2	7	264	13
46	4	0	0	5	1	5	168	9
52	4	0	0	23	2	12	24	23
58	4	0	0	15	1	4	144	7
64	4	0	0	18	1	6	192	12
70	4	0	0	16	1	4	144	8
76	4	0	0	24	2	12	24	24
82	4	0	0	11	2	11	360	21
88	4	0	0	13	1	2	96	3
94	4	0	0	6	1	5	168	10
100	4	0	0	20	2	8	288	16
106	4	0	0	19	2	8	288	15
112	4	0	0	10	2	9	312	18
124	4	0	0	3	1	3	120	5
130	4	0	0	1	1	1	72	1
136	4	0	0	17	1	6	192	11
148	4	0	0	14	1	2	96	4
154	4	0	0	4	1	3	120	6
160	4	0	0	12	2	11	360	22
166	4	0	0	2	1	1	72	2
178	4	0	0	11	2	11	360	21
184	4	0	0	18	1	6	192	12
196	4	0	0	23	2	12	24	23
208	4	0	0	22	2	10	336	20
214	4	0	0	5	1	5	168	9
220	4	0	0	1	1	1	72	1
232	4	0	0	24	2	12	24	24
238	4	0	0	17	1	6	192	11
250	4	0	0	2	1	1	72	2
256	4	0	0	3	1	3	120	5
268	4	0	0	10	2	9	312	18
274	4	0	0	14	1	2	96	4
280	4	0	0	12	2	11	360	22
292	4	0	0	13	1	2	96	3
298	4	0	0	4	1	3	120	6
304	4	0	0	8	2	7	264	14
310	4	0	0	21	2	10	336	19
316	4	0	0	9	2	9	312	17
322	4	0	0	6	1	5	168	10
328	4	0	0	16	1	4	144	8
340	4	0	0	7	2	7	264	13
346	4	0	0	19	2	8	288	15
358	4	0	0	20	2	8	288	16
364	4	0	0	15	1	4	144	7
