onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	15	1	4	72	7
14	2	0	0	22	2	10	264	20
22	2	0	0	21	2	10	264	19
30	2	0	0	6	1	5	96	10
34	2	0	0	16	1	4	72	8
42	2	0	0	10	2	9	240	18
46	2	0	0	14	1	2	24	4
50	2	0	0	20	2	8	216	16
54	2	0	0	4	1	3	48	6
58	2	0	0	3	1	3	48	5
62	2	0	0	17	1	6	120	11
66	2	0	0	9	2	9	240	17
70	2	0	0	13	1	2	24	3
74	2	0	0	8	2	7	192	14
78	2	0	0	12	2	11	288	22
82	2	0	0	7	2	7	192	13
86	2	0	0	19	2	8	216	15
94	2	0	0	5	1	5	96	9
98	2	0	0	1	1	1	360	1
106	2	0	0	18	1	6	120	12
110	2	0	0	23	2	12	312	23
114	2	0	0	11	2	11	288	21
118	2	0	0	24	2	12	312	24
126	2	0	0	2	1	1	360	2
130	2	0	0	6	1	5	96	10
138	2	0	0	20	2	8	216	16
142	2	0	0	1	1	1	360	1
146	2	0	0	11	2	11	288	21
150	2	0	0	7	2	7	192	13
158	2	0	0	4	1	3	48	6
162	2	0	0	16	1	4	72	8
166	2	0	0	3	1	3	48	5
170	2	0	0	13	1	2	24	3
174	2	0	0	5	1	5	96	9
178	2	0	0	14	1	2	24	4
182	2	0	0	21	2	10	264	19
186	2	0	0	15	1	4	72	7
194	2	0	0	18	1	6	120	12
198	2	0	0	23	2	12	312	23
202	2	0	0	24	2	12	312	24
206	2	0	0	9	2	9	240	17
214	2	0	0	8	2	7	192	14
218	2	0	0	12	2	11	288	22
222	2	0	0	19	2	8	216	15
226	2	0	0	17	1	6	120	11
230	2	0	0	2	1	1	360	2
238	2	0	0	22	2	10	264	20
246	2	0	0	10	2	9	240	18
