onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	20	2	8	168	16
16	4	0	0	12	2	11	240	22
28	4	0	0	13	1	2	336	3
34	4	0	0	9	2	9	192	17
46	4	0	0	21	2	10	216	19
58	4	0	0	17	1	6	72	11
64	4	0	0	14	1	2	336	4
70	4	0	0	15	1	4	24	7
76	4	0	0	7	2	7	144	13
88	4	0	0	24	2	12	264	24
94	4	0	0	18	1	6	72	12
106	4	0	0	4	1	3	360	6
112	4	0	0	22	2	10	216	20
124	4	0	0	11	2	11	240	21
130	4	0	0	16	1	4	24	8
136	4	0	0	1	1	1	312	1
142	4	0	0	3	1	3	360	5
148	4	0	0	19	2	8	168	15
154	4	0	0	8	2	7	144	14
166	4	0	0	6	1	5	48	10
172	4	0	0	2	1	1	312	2
178	4	0	0	23	2	12	264	23
190	4	0	0	10	2	9	192	18
196	4	0	0	5	1	5	48	9
202	4	0	0	8	2	7	144	14
208	4	0	0	23	2	12	264	23
214	4	0	0	7	2	7	144	13
220	4	0	0	9	2	9	192	17
226	4	0	0	15	1	4	24	7
238	4	0	0	22	2	10	216	20
244	4	0	0	24	2	12	264	24
250	4	0	0	13	1	2	336	3
256	4	0	0	1	1	1	312	1
262	4	0	0	2	1	1	312	2
274	4	0	0	11	2	11	240	21
280	4	0	0	16	1	4	24	8
286	4	0	0	19	2	8	168	15
292	4	0	0	6	1	5	48	10
304	4	0	0	20	2	8	168	16
310	4	0	0	21	2	10	216	19
316	4	0	0	12	2	11	240	22
322	4	0	0	3	1	3	360	5
328	4	0	0	5	1	5	48	9
334	4	0	0	4	1	3	360	6
346	4	0	0	17	1	6	72	11
352	4	0	0	14	1	2	336	4
358	4	0	0	18	1	6	72	12
364	4	0	0	10	2	9	192	18
