onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	23	2	12	264	23
16	4	0	0	17	1	6	72	11
22	4	0	0	7	2	7	144	13
34	4	0	0	20	2	8	168	16
40	4	0	0	14	1	2	336	4
46	4	0	0	16	1	4	24	8
52	4	0	0	21	2	10	216	19
58	4	0	0	22	2	10	216	20
70	4	0	0	11	2	11	240	21
82	4	0	0	10	2	9	192	18
88	4	0	0	1	1	1	312	1
94	4	0	0	4	1	3	360	6
100	4	0	0	13	1	2	336	3
106	4	0	0	15	1	4	24	7
112	4	0	0	8	2	7	144	14
124	4	0	0	3	1	3	360	5
130	4	0	0	6	1	5	48	10
142	4	0	0	12	2	11	240	22
148	4	0	0	2	1	1	312	2
154	4	0	0	9	2	9	192	17
160	4	0	0	24	2	12	264	24
172	4	0	0	18	1	6	72	12
178	4	0	0	5	1	5	48	9
184	4	0	0	19	2	8	168	15
190	4	0	0	16	1	4	24	8
196	4	0	0	2	1	1	312	2
202	4	0	0	8	2	7	144	14
214	4	0	0	13	1	2	336	3
220	4	0	0	20	2	8	168	16
226	4	0	0	6	1	5	48	10
232	4	0	0	3	1	3	360	5
244	4	0	0	22	2	10	216	20
250	4	0	0	14	1	2	336	4
262	4	0	0	1	1	1	312	1
268	4	0	0	10	2	9	192	18
274	4	0	0	7	2	7	144	13
286	4	0	0	23	2	12	264	23
292	4	0	0	15	1	4	24	7
298	4	0	0	21	2	10	216	19
310	4	0	0	4	1	3	360	6
316	4	0	0	19	2	8	168	15
322	4	0	0	17	1	6	72	11
334	4	0	0	5	1	5	48	9
340	4	0	0	9	2	9	192	17
346	4	0	0	12	2	11	240	22
352	4	0	0	18	1	6	72	12
358	4	0	0	11	2	11	240	21
364	4	0	0	24	2	12	264	24
