onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	9	2	9	192	17
14	2	0	0	6	1	5	48	10
22	2	0	0	19	2	8	168	15
26	2	0	0	3	1	3	360	5
30	2	0	0	13	1	2	336	3
34	2	0	0	21	2	10	216	19
38	2	0	0	15	1	4	24	7
42	2	0	0	24	2	12	264	24
50	2	0	0	10	2	9	192	18
54	2	0	0	5	1	5	48	9
62	2	0	0	14	1	2	336	4
70	2	0	0	18	1	6	72	12
74	2	0	0	20	2	8	168	16
78	2	0	0	17	1	6	72	11
82	2	0	0	2	1	1	312	2
86	2	0	0	8	2	7	144	14
90	2	0	0	1	1	1	312	1
98	2	0	0	16	1	4	24	8
102	2	0	0	22	2	10	216	20
106	2	0	0	23	2	12	264	23
110	2	0	0	11	2	11	240	21
114	2	0	0	4	1	3	360	6
118	2	0	0	12	2	11	240	22
126	2	0	0	7	2	7	144	13
134	2	0	0	3	1	3	360	5
138	2	0	0	9	2	9	192	17
142	2	0	0	22	2	10	216	20
146	2	0	0	21	2	10	216	19
150	2	0	0	18	1	6	72	12
158	2	0	0	1	1	1	312	1
162	2	0	0	6	1	5	48	10
166	2	0	0	8	2	7	144	14
170	2	0	0	10	2	9	192	18
174	2	0	0	2	1	1	312	2
182	2	0	0	16	1	4	24	8
186	2	0	0	17	1	6	72	11
190	2	0	0	12	2	11	240	22
198	2	0	0	13	1	2	336	3
202	2	0	0	7	2	7	144	13
206	2	0	0	14	1	2	336	4
214	2	0	0	20	2	8	168	16
218	2	0	0	5	1	5	48	9
222	2	0	0	19	2	8	168	15
230	2	0	0	4	1	3	360	6
234	2	0	0	11	2	11	240	21
238	2	0	0	24	2	12	264	24
242	2	0	0	23	2	12	264	23
246	2	0	0	15	1	4	24	7
