onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	16	1	4	96	8
16	4	0	0	21	2	10	288	19
22	4	0	0	12	2	11	312	22
28	4	0	0	23	2	12	336	23
40	4	0	0	19	2	8	240	15
52	4	0	0	15	1	4	96	7
58	4	0	0	1	1	1	24	1
70	4	0	0	4	1	3	72	6
82	4	0	0	22	2	10	288	20
88	4	0	0	13	1	2	48	3
94	4	0	0	6	1	5	120	10
100	4	0	0	24	2	12	336	24
106	4	0	0	3	1	3	72	5
112	4	0	0	20	2	8	240	16
118	4	0	0	5	1	5	120	9
124	4	0	0	14	1	2	48	4
130	4	0	0	2	1	1	24	2
136	4	0	0	7	2	7	216	13
148	4	0	0	11	2	11	312	21
160	4	0	0	10	2	9	264	18
172	4	0	0	9	2	9	264	17
184	4	0	0	17	1	6	144	11
196	4	0	0	8	2	7	216	14
202	4	0	0	18	1	6	144	12
208	4	0	0	22	2	10	288	20
214	4	0	0	20	2	8	240	16
220	4	0	0	10	2	9	264	18
226	4	0	0	24	2	12	336	24
232	4	0	0	1	1	1	24	1
238	4	0	0	12	2	11	312	22
244	4	0	0	3	1	3	72	5
250	4	0	0	4	1	3	72	6
256	4	0	0	8	2	7	216	14
262	4	0	0	16	1	4	96	8
268	4	0	0	14	1	2	48	4
274	4	0	0	19	2	8	240	15
280	4	0	0	21	2	10	288	19
286	4	0	0	6	1	5	120	10
292	4	0	0	13	1	2	48	3
298	4	0	0	7	2	7	216	13
310	4	0	0	17	1	6	144	11
316	4	0	0	18	1	6	144	12
328	4	0	0	2	1	1	24	2
334	4	0	0	5	1	5	120	9
340	4	0	0	23	2	12	336	23
346	4	0	0	9	2	9	264	17
358	4	0	0	11	2	11	312	21
364	4	0	0	15	1	4	96	7
