onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	20	2	8	240	16
14	2	0	0	17	1	6	144	11
18	2	0	0	8	2	7	216	14
22	2	0	0	22	2	10	288	20
26	2	0	0	13	1	2	48	3
30	2	0	0	19	2	8	240	15
34	2	0	0	1	1	1	24	1
38	2	0	0	7	2	7	216	13
42	2	0	0	11	2	11	312	21
46	2	0	0	14	1	2	48	4
50	2	0	0	23	2	12	336	23
54	2	0	0	3	1	3	72	5
58	2	0	0	10	2	9	264	18
62	2	0	0	21	2	10	288	19
66	2	0	0	2	1	1	24	2
70	2	0	0	16	1	4	96	8
74	2	0	0	18	1	6	144	12
78	2	0	0	12	2	11	312	22
82	2	0	0	5	1	5	120	9
86	2	0	0	15	1	4	96	7
94	2	0	0	4	1	3	72	6
102	2	0	0	6	1	5	120	10
110	2	0	0	24	2	12	336	24
114	2	0	0	9	2	9	264	17
122	2	0	0	12	2	11	312	22
130	2	0	0	9	2	9	264	17
138	2	0	0	1	1	1	24	1
142	2	0	0	3	1	3	72	5
146	2	0	0	24	2	12	336	24
150	2	0	0	20	2	8	240	16
158	2	0	0	16	1	4	96	8
162	2	0	0	17	1	6	144	11
166	2	0	0	8	2	7	216	14
174	2	0	0	19	2	8	240	15
178	2	0	0	23	2	12	336	23
186	2	0	0	4	1	3	72	6
190	2	0	0	18	1	6	144	12
194	2	0	0	5	1	5	120	9
198	2	0	0	14	1	2	48	4
206	2	0	0	2	1	1	24	2
210	2	0	0	22	2	10	288	20
218	2	0	0	7	2	7	216	13
222	2	0	0	6	1	5	120	10
226	2	0	0	13	1	2	48	3
234	2	0	0	11	2	11	312	21
238	2	0	0	10	2	9	264	18
242	2	0	0	21	2	10	288	19
246	2	0	0	15	1	4	96	7
