onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	15	1	4	168	7
14	2	0	0	19	2	8	312	15
18	2	0	0	14	1	2	120	4
26	2	0	0	6	1	5	192	10
30	2	0	0	18	1	6	216	12
34	2	0	0	21	2	10	360	19
38	2	0	0	5	1	5	192	9
42	2	0	0	22	2	10	360	20
46	2	0	0	8	2	7	288	14
54	2	0	0	10	2	9	336	18
58	2	0	0	16	1	4	168	8
62	2	0	0	9	2	9	336	17
70	2	0	0	7	2	7	288	13
74	2	0	0	4	1	3	144	6
82	2	0	0	2	1	1	96	2
90	2	0	0	17	1	6	216	11
98	2	0	0	1	1	1	96	1
106	2	0	0	13	1	2	120	3
110	2	0	0	12	2	11	24	22
114	2	0	0	20	2	8	312	16
122	2	0	0	11	2	11	24	21
126	2	0	0	24	2	12	48	24
130	2	0	0	23	2	12	48	23
134	2	0	0	3	1	3	144	5
138	2	0	0	14	1	2	120	4
142	2	0	0	19	2	8	312	15
146	2	0	0	10	2	9	336	18
150	2	0	0	18	1	6	216	12
158	2	0	0	16	1	4	168	8
162	2	0	0	2	1	1	96	2
166	2	0	0	17	1	6	216	11
170	2	0	0	15	1	4	168	7
174	2	0	0	13	1	2	120	3
178	2	0	0	4	1	3	144	6
182	2	0	0	20	2	8	312	16
186	2	0	0	24	2	12	48	24
190	2	0	0	11	2	11	24	21
194	2	0	0	6	1	5	192	10
202	2	0	0	3	1	3	144	5
206	2	0	0	1	1	1	96	1
210	2	0	0	5	1	5	192	9
214	2	0	0	12	2	11	24	22
218	2	0	0	9	2	9	336	17
222	2	0	0	7	2	7	288	13
226	2	0	0	8	2	7	288	14
230	2	0	0	23	2	12	48	23
238	2	0	0	21	2	10	360	19
246	2	0	0	22	2	10	360	20
