onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	19	2	8	72	15
16	4	0	0	10	2	9	96	18
22	4	0	0	17	1	6	336	11
34	4	0	0	15	1	4	288	7
40	4	0	0	2	1	1	216	2
46	4	0	0	5	1	5	312	9
52	4	0	0	23	2	12	168	23
58	4	0	0	12	2	11	144	22
70	4	0	0	8	2	7	48	14
82	4	0	0	7	2	7	48	13
88	4	0	0	13	1	2	240	3
94	4	0	0	24	2	12	168	24
100	4	0	0	16	1	4	288	8
112	4	0	0	4	1	3	264	6
124	4	0	0	3	1	3	264	5
136	4	0	0	6	1	5	312	10
148	4	0	0	1	1	1	216	1
154	4	0	0	11	2	11	144	21
160	4	0	0	9	2	9	96	17
172	4	0	0	22	2	10	120	20
178	4	0	0	18	1	6	336	12
184	4	0	0	14	1	2	240	4
190	4	0	0	21	2	10	120	19
196	4	0	0	20	2	8	72	16
202	4	0	0	7	2	7	48	13
208	4	0	0	1	1	1	216	1
220	4	0	0	10	2	9	96	18
226	4	0	0	8	2	7	48	14
232	4	0	0	3	1	3	264	5
238	4	0	0	14	1	2	240	4
244	4	0	0	4	1	3	264	6
250	4	0	0	9	2	9	96	17
256	4	0	0	13	1	2	240	3
262	4	0	0	5	1	5	312	9
274	4	0	0	15	1	4	288	7
286	4	0	0	20	2	8	72	16
292	4	0	0	22	2	10	120	20
298	4	0	0	21	2	10	120	19
304	4	0	0	17	1	6	336	11
310	4	0	0	24	2	12	168	24
316	4	0	0	18	1	6	336	12
322	4	0	0	2	1	1	216	2
328	4	0	0	19	2	8	72	15
334	4	0	0	12	2	11	144	22
340	4	0	0	23	2	12	168	23
346	4	0	0	6	1	5	312	10
352	4	0	0	16	1	4	288	8
364	4	0	0	11	2	11	144	21
