onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	14	1	2	288	4
16	4	0	0	7	2	7	96	13
22	4	0	0	15	1	4	336	7
28	4	0	0	21	2	10	168	19
34	4	0	0	10	2	9	144	18
40	4	0	0	24	2	12	216	24
46	4	0	0	8	2	7	96	14
58	4	0	0	23	2	12	216	23
70	4	0	0	9	2	9	144	17
76	4	0	0	17	1	6	24	11
82	4	0	0	5	1	5	360	9
88	4	0	0	2	1	1	264	2
94	4	0	0	4	1	3	312	6
106	4	0	0	19	2	8	120	15
112	4	0	0	16	1	4	336	8
118	4	0	0	1	1	1	264	1
130	4	0	0	3	1	3	312	5
136	4	0	0	22	2	10	168	20
142	4	0	0	20	2	8	120	16
148	4	0	0	11	2	11	192	21
154	4	0	0	18	1	6	24	12
160	4	0	0	12	2	11	192	22
166	4	0	0	13	1	2	288	3
172	4	0	0	6	1	5	360	10
184	4	0	0	18	1	6	24	12
190	4	0	0	4	1	3	312	6
202	4	0	0	14	1	2	288	4
214	4	0	0	1	1	1	264	1
220	4	0	0	5	1	5	360	9
226	4	0	0	11	2	11	192	21
232	4	0	0	17	1	6	24	11
238	4	0	0	22	2	10	168	20
244	4	0	0	21	2	10	168	19
250	4	0	0	20	2	8	120	16
256	4	0	0	2	1	1	264	2
268	4	0	0	10	2	9	144	18
274	4	0	0	12	2	11	192	22
286	4	0	0	24	2	12	216	24
298	4	0	0	19	2	8	120	15
304	4	0	0	8	2	7	96	14
310	4	0	0	9	2	9	144	17
316	4	0	0	23	2	12	216	23
322	4	0	0	15	1	4	336	7
328	4	0	0	16	1	4	336	8
340	4	0	0	6	1	5	360	10
352	4	0	0	3	1	3	312	5
358	4	0	0	13	1	2	288	3
364	4	0	0	7	2	7	96	13
