onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	22	2	10	168	20
14	2	0	0	9	2	9	144	17
18	2	0	0	4	1	3	312	6
22	2	0	0	7	2	7	96	13
26	2	0	0	8	2	7	96	14
34	2	0	0	11	2	11	192	21
42	2	0	0	17	1	6	24	11
46	2	0	0	5	1	5	360	9
50	2	0	0	6	1	5	360	10
58	2	0	0	19	2	8	120	15
66	2	0	0	24	2	12	216	24
70	2	0	0	1	1	1	264	1
78	2	0	0	10	2	9	144	18
82	2	0	0	15	1	4	336	7
86	2	0	0	23	2	12	216	23
90	2	0	0	12	2	11	192	22
98	2	0	0	3	1	3	312	5
102	2	0	0	14	1	2	288	4
110	2	0	0	2	1	1	264	2
114	2	0	0	21	2	10	168	19
118	2	0	0	16	1	4	336	8
122	2	0	0	18	1	6	24	12
130	2	0	0	20	2	8	120	16
134	2	0	0	13	1	2	288	3
142	2	0	0	21	2	10	168	19
146	2	0	0	16	1	4	336	8
150	2	0	0	3	1	3	312	5
154	2	0	0	8	2	7	96	14
158	2	0	0	15	1	4	336	7
162	2	0	0	11	2	11	192	21
166	2	0	0	14	1	2	288	4
170	2	0	0	7	2	7	96	13
174	2	0	0	20	2	8	120	16
178	2	0	0	17	1	6	24	11
186	2	0	0	9	2	9	144	17
190	2	0	0	12	2	11	192	22
198	2	0	0	22	2	10	168	20
202	2	0	0	4	1	3	312	6
206	2	0	0	23	2	12	216	23
210	2	0	0	24	2	12	216	24
214	2	0	0	5	1	5	360	9
218	2	0	0	2	1	1	264	2
222	2	0	0	6	1	5	360	10
226	2	0	0	1	1	1	264	1
230	2	0	0	18	1	6	24	12
234	2	0	0	13	1	2	288	3
242	2	0	0	19	2	8	120	15
246	2	0	0	10	2	9	144	18
