onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	10	2	9	144	18
16	4	0	0	12	2	11	192	22
22	4	0	0	15	1	4	336	7
28	4	0	0	8	2	7	96	14
34	4	0	0	22	2	10	168	20
46	4	0	0	24	2	12	216	24
52	4	0	0	3	1	3	312	5
58	4	0	0	18	1	6	24	12
64	4	0	0	4	1	3	312	6
70	4	0	0	9	2	9	144	17
76	4	0	0	2	1	1	264	2
82	4	0	0	21	2	10	168	19
88	4	0	0	5	1	5	360	9
94	4	0	0	13	1	2	288	3
100	4	0	0	1	1	1	264	1
106	4	0	0	19	2	8	120	15
118	4	0	0	14	1	2	288	4
130	4	0	0	7	2	7	96	13
142	4	0	0	23	2	12	216	23
148	4	0	0	16	1	4	336	8
154	4	0	0	17	1	6	24	11
160	4	0	0	20	2	8	120	16
172	4	0	0	11	2	11	192	21
184	4	0	0	6	1	5	360	10
190	4	0	0	4	1	3	312	6
196	4	0	0	17	1	6	24	11
202	4	0	0	23	2	12	216	23
214	4	0	0	24	2	12	216	24
226	4	0	0	2	1	1	264	2
232	4	0	0	10	2	9	144	18
238	4	0	0	8	2	7	96	14
244	4	0	0	21	2	10	168	19
250	4	0	0	18	1	6	24	12
262	4	0	0	13	1	2	288	3
268	4	0	0	12	2	11	192	22
280	4	0	0	3	1	3	312	5
292	4	0	0	7	2	7	96	13
298	4	0	0	9	2	9	144	17
304	4	0	0	15	1	4	336	7
316	4	0	0	19	2	8	120	15
322	4	0	0	1	1	1	264	1
328	4	0	0	16	1	4	336	8
334	4	0	0	20	2	8	120	16
340	4	0	0	5	1	5	360	9
346	4	0	0	22	2	10	168	20
352	4	0	0	6	1	5	360	10
358	4	0	0	14	1	2	288	4
364	4	0	0	11	2	11	192	21
