onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	24	2	12	144	24
14	2	0	0	13	1	2	216	3
18	2	0	0	15	1	4	264	7
26	2	0	0	3	1	3	240	5
30	2	0	0	21	2	10	96	19
38	2	0	0	19	2	8	48	15
42	2	0	0	1	1	1	192	1
46	2	0	0	6	1	5	288	10
54	2	0	0	17	1	6	312	11
58	2	0	0	23	2	12	144	23
62	2	0	0	20	2	8	48	16
66	2	0	0	22	2	10	96	20
70	2	0	0	16	1	4	264	8
78	2	0	0	9	2	9	72	17
82	2	0	0	12	2	11	120	22
90	2	0	0	7	2	7	24	13
94	2	0	0	5	1	5	288	9
98	2	0	0	11	2	11	120	21
102	2	0	0	8	2	7	24	14
106	2	0	0	10	2	9	72	18
110	2	0	0	2	1	1	192	2
118	2	0	0	18	1	6	312	12
122	2	0	0	4	1	3	240	6
126	2	0	0	14	1	2	216	4
130	2	0	0	19	2	8	48	15
138	2	0	0	13	1	2	216	3
142	2	0	0	23	2	12	144	23
146	2	0	0	5	1	5	288	9
150	2	0	0	16	1	4	264	8
154	2	0	0	4	1	3	240	6
158	2	0	0	8	2	7	24	14
166	2	0	0	21	2	10	96	19
170	2	0	0	14	1	2	216	4
174	2	0	0	11	2	11	120	21
178	2	0	0	2	1	1	192	2
182	2	0	0	9	2	9	72	17
186	2	0	0	17	1	6	312	11
190	2	0	0	15	1	4	264	7
194	2	0	0	3	1	3	240	5
198	2	0	0	18	1	6	312	12
202	2	0	0	22	2	10	96	20
210	2	0	0	24	2	12	144	24
218	2	0	0	20	2	8	48	16
226	2	0	0	6	1	5	288	10
230	2	0	0	1	1	1	192	1
234	2	0	0	12	2	11	120	22
242	2	0	0	7	2	7	24	13
246	2	0	0	10	2	9	72	18
