onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	23	2	12	144	23
16	4	0	0	21	2	10	96	19
22	4	0	0	20	2	8	48	16
28	4	0	0	4	1	3	240	6
40	4	0	0	13	1	2	216	3
46	4	0	0	10	2	9	72	18
58	4	0	0	16	1	4	264	8
64	4	0	0	17	1	6	312	11
70	4	0	0	1	1	1	192	1
82	4	0	0	19	2	8	48	15
88	4	0	0	9	2	9	72	17
94	4	0	0	22	2	10	96	20
100	4	0	0	24	2	12	144	24
106	4	0	0	8	2	7	24	14
112	4	0	0	12	2	11	120	22
118	4	0	0	15	1	4	264	7
124	4	0	0	2	1	1	192	2
130	4	0	0	18	1	6	312	12
136	4	0	0	6	1	5	288	10
142	4	0	0	7	2	7	24	13
148	4	0	0	14	1	2	216	4
160	4	0	0	5	1	5	288	9
172	4	0	0	11	2	11	120	21
184	4	0	0	3	1	3	240	5
190	4	0	0	5	1	5	288	9
202	4	0	0	24	2	12	144	24
214	4	0	0	13	1	2	216	3
226	4	0	0	18	1	6	312	12
232	4	0	0	1	1	1	192	1
238	4	0	0	22	2	10	96	20
244	4	0	0	14	1	2	216	4
250	4	0	0	11	2	11	120	21
256	4	0	0	6	1	5	288	10
262	4	0	0	12	2	11	120	22
268	4	0	0	16	1	4	264	8
274	4	0	0	8	2	7	24	14
286	4	0	0	23	2	12	144	23
292	4	0	0	2	1	1	192	2
298	4	0	0	17	1	6	312	11
304	4	0	0	9	2	9	72	17
310	4	0	0	10	2	9	72	18
322	4	0	0	3	1	3	240	5
328	4	0	0	19	2	8	48	15
334	4	0	0	15	1	4	264	7
340	4	0	0	7	2	7	24	13
352	4	0	0	20	2	8	48	16
358	4	0	0	4	1	3	240	6
364	4	0	0	21	2	10	96	19
