onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	23	2	12	144	23
22	4	0	0	5	1	5	288	9
28	4	0	0	16	1	4	264	8
34	4	0	0	18	1	6	312	12
46	4	0	0	11	2	11	120	21
58	4	0	0	13	1	2	216	3
64	4	0	0	2	1	1	192	2
70	4	0	0	15	1	4	264	7
82	4	0	0	22	2	10	96	20
94	4	0	0	20	2	8	48	16
100	4	0	0	3	1	3	240	5
106	4	0	0	7	2	7	24	13
112	4	0	0	24	2	12	144	24
118	4	0	0	6	1	5	288	10
124	4	0	0	19	2	8	48	15
130	4	0	0	10	2	9	72	18
142	4	0	0	8	2	7	24	14
148	4	0	0	17	1	6	312	11
160	4	0	0	4	1	3	240	6
166	4	0	0	21	2	10	96	19
172	4	0	0	14	1	2	216	4
178	4	0	0	9	2	9	72	17
184	4	0	0	12	2	11	120	22
190	4	0	0	1	1	1	192	1
196	4	0	0	23	2	12	144	23
202	4	0	0	17	1	6	312	11
214	4	0	0	22	2	10	96	20
220	4	0	0	1	1	1	192	1
226	4	0	0	3	1	3	240	5
238	4	0	0	4	1	3	240	6
244	4	0	0	18	1	6	312	12
250	4	0	0	5	1	5	288	9
256	4	0	0	14	1	2	216	4
262	4	0	0	16	1	4	264	8
268	4	0	0	24	2	12	144	24
274	4	0	0	2	1	1	192	2
286	4	0	0	19	2	8	48	15
292	4	0	0	6	1	5	288	10
298	4	0	0	11	2	11	120	21
304	4	0	0	10	2	9	72	18
316	4	0	0	8	2	7	24	14
322	4	0	0	9	2	9	72	17
328	4	0	0	12	2	11	120	22
334	4	0	0	20	2	8	48	16
340	4	0	0	15	1	4	264	7
346	4	0	0	21	2	10	96	19
358	4	0	0	13	1	2	216	3
364	4	0	0	7	2	7	24	13
