onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	10	2	9	72	18
18	2	0	0	18	1	6	312	12
26	2	0	0	3	1	3	240	5
34	2	0	0	12	2	11	120	22
38	2	0	0	15	1	4	264	7
42	2	0	0	20	2	8	48	16
46	2	0	0	6	1	5	288	10
50	2	0	0	21	2	10	96	19
58	2	0	0	23	2	12	144	23
62	2	0	0	4	1	3	240	6
66	2	0	0	5	1	5	288	9
70	2	0	0	24	2	12	144	24
74	2	0	0	14	1	2	216	4
78	2	0	0	22	2	10	96	20
82	2	0	0	11	2	11	120	21
86	2	0	0	16	1	4	264	8
94	2	0	0	1	1	1	192	1
102	2	0	0	9	2	9	72	17
106	2	0	0	8	2	7	24	14
110	2	0	0	2	1	1	192	2
118	2	0	0	19	2	8	48	15
122	2	0	0	7	2	7	24	13
126	2	0	0	17	1	6	312	11
134	2	0	0	13	1	2	216	3
138	2	0	0	20	2	8	48	16
142	2	0	0	6	1	5	288	10
146	2	0	0	14	1	2	216	4
150	2	0	0	22	2	10	96	20
154	2	0	0	16	1	4	264	8
158	2	0	0	4	1	3	240	6
166	2	0	0	24	2	12	144	24
170	2	0	0	8	2	7	24	14
174	2	0	0	21	2	10	96	19
178	2	0	0	5	1	5	288	9
186	2	0	0	11	2	11	120	21
190	2	0	0	10	2	9	72	18
194	2	0	0	13	1	2	216	3
198	2	0	0	19	2	8	48	15
202	2	0	0	9	2	9	72	17
206	2	0	0	18	1	6	312	12
210	2	0	0	3	1	3	240	5
218	2	0	0	23	2	12	144	23
222	2	0	0	2	1	1	192	2
226	2	0	0	12	2	11	120	22
230	2	0	0	1	1	1	192	1
234	2	0	0	15	1	4	264	7
242	2	0	0	7	2	7	24	13
246	2	0	0	17	1	6	312	11
